"ref_area.label","source.label","indicator.label","time","obs_value"
"Afghanistan","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2027",6
"Afghanistan","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2026",6.05
"Afghanistan","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2025",6.1
"Afghanistan","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2024",6.18
"Afghanistan","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2023",6.31
"Afghanistan","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2022",6.34
"Afghanistan","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2021",6
"Afghanistan","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2020",6.99
"Afghanistan","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2019",6.9
"Afghanistan","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2018",6.61
"Afghanistan","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2017",6.52
"Afghanistan","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2016",6.57
"Afghanistan","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2015",6.63
"Afghanistan","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2014",6.78
"Afghanistan","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2013",6.98
"Afghanistan","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2012",6.98
"Afghanistan","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2011",6.54
"Afghanistan","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2010",6.84
"Afghanistan","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2009",6.24
"Afghanistan","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2008",5.4
"Afghanistan","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2007",5.35
"Afghanistan","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2006",4.83
"Afghanistan","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2005",4.8
"Angola","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2027",9.27
"Angola","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2026",9.34
"Angola","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2025",9.45
"Angola","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2024",9.56
"Angola","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2023",9.49
"Angola","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2022",9.67
"Angola","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2021",10.38
"Angola","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2020",11.35
"Angola","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2019",11.44
"Angola","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2018",11.92
"Angola","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2017",12.49
"Angola","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2016",12.93
"Angola","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2015",13.7
"Angola","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2014",14
"Angola","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2013",13.86
"Angola","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2012",13.71
"Angola","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2011",13.16
